satellites_used,processed_at,timestamp_iso,timestamp,lon,sog,cog,id,lat,ele,quality,datetime,distance_m,time_diff_s,speed_kmh
9.0,2025-05-23T16:52:35.553015,2025-04-22T12:50:09,1745326209.0,2.789848,46.15,13.36,vehicle_01,41.9092,57.11,1.0,2025-04-22 12:50:09,165.5144721469864,7.0,85.12172853273587
9.0,2025-05-23T16:52:35.558149,2025-04-22T12:50:17,1745326217.0,2.790239,43.84,10.39,vehicle_01,41.9108,57.25,1.0,2025-04-22 12:50:17,180.83008057689548,8.0,81.37353625960297
9.0,2025-05-23T16:52:35.563240,2025-04-22T12:50:24,1745326224.0,2.790559,43.9,10.28,vehicle_01,41.9122,57.44,1.0,2025-04-22 12:50:24,157.90889893002324,7.0,81.21029087829767
9.0,2025-05-23T16:52:35.568518,2025-04-22T12:50:31,1745326231.0,2.790916,45.84,12.26,vehicle_01,41.91365,57.26,1.0,2025-04-22 12:50:31,163.91648871696555,7.0,84.29990848301085
9.0,2025-05-23T16:52:35.573630,2025-04-22T12:50:38,1745326238.0,2.791361,46.37,12.99,vehicle_01,41.91513,57.66,1.0,2025-04-22 12:50:38,168.63752119999234,7.0,86.72786804571034
9.0,2025-05-23T16:52:35.578994,2025-04-22T12:50:45,1745326245.0,2.791781,45.98,11.39,vehicle_01,41.91659,58.05,1.0,2025-04-22 12:50:45,166.02251563114433,7.0,85.38300803887422
9.0,2025-05-23T16:52:35.584358,2025-04-22T12:50:52,1745326252.0,2.792106,45.65,9.66,vehicle_01,41.91803,58.21,1.0,2025-04-22 12:50:52,162.36304147211067,7.0,83.50099275708548
9.0,2025-05-23T16:52:35.590018,2025-04-22T12:51:00,1745326260.0,2.792471,45.36,9.22,vehicle_01,41.91968,58.3,1.0,2025-04-22 12:51:00,185.94049480061267,8.0,83.6732226602757
9.0,2025-05-23T16:52:35.595827,2025-04-22T12:51:07,1745326267.0,2.79273,45.31,7.33,vehicle_01,41.92112,58.44,1.0,2025-04-22 12:51:07,161.54824747642687,7.0,83.08195584501954
8.0,2025-05-23T16:52:35.601330,2025-04-22T12:51:14,1745326274.0,2.792994,44.89,7.38,vehicle_01,41.92256,58.48,1.0,2025-04-22 12:51:14,161.6035753811792,7.0,83.11041019603502
9.0,2025-05-23T16:52:35.606748,2025-04-22T12:51:22,1745326282.0,2.793291,43.68,7.4,vehicle_01,41.92418,58.64,1.0,2025-04-22 12:51:22,181.80394266894623,8.0,81.81177420102581
9.0,2025-05-23T16:52:35.612093,2025-04-22T12:51:29,1745326289.0,2.793456,44.84,358.45,vehicle_01,41.92556,59.05,1.0,2025-04-22 12:51:29,154.0549786112553,7.0,79.22827471435987
9.0,2025-05-23T16:52:35.617538,2025-04-22T12:51:36,1745326296.0,2.792965,44.8,336.81,vehicle_01,41.92694,59.7,1.0,2025-04-22 12:51:36,158.73436956971452,7.0,81.63481863585318
9.0,2025-05-23T16:52:35.622953,2025-04-22T12:51:44,1745326304.0,2.791633,46.25,322.05,vehicle_01,41.92831,60.86,1.0,2025-04-22 12:51:44,188.01378795340378,8.0,84.6062045790317
9.0,2025-05-23T16:52:35.628123,2025-04-22T12:51:51,1745326311.0,2.790401,43.75,319.74,vehicle_01,41.9294,61.1,1.0,2025-04-22 12:51:51,158.35867700386126,7.0,81.4416053162715
9.0,2025-05-23T16:52:35.633332,2025-04-22T12:51:58,1745326318.0,2.789151,43.55,318.82,vehicle_01,41.93044,61.28,1.0,2025-04-22 12:51:58,155.13239679232126,7.0,79.7823754931938
9.0,2025-05-23T16:52:35.638785,2025-04-22T12:52:06,1745326326.0,2.787831,44.73,333.48,vehicle_01,41.93177,61.58,1.0,2025-04-22 12:52:06,183.83345070503648,8.0,82.72505281726642
9.0,2025-05-23T16:52:35.644091,2025-04-22T12:52:13,1745326333.0,2.787263,46.8,354.79,vehicle_01,41.93319,60.97,1.0,2025-04-22 12:52:13,164.739393465653,7.0,84.72311663947869
9.0,2025-05-23T16:52:35.649340,2025-04-22T12:52:20,1745326340.0,2.787505,48.05,10.96,vehicle_01,41.93468,60.98,1.0,2025-04-22 12:52:20,166.88539533292467,7.0,85.82677474264698
9.0,2025-05-23T16:52:35.654614,2025-04-22T12:52:28,1745326348.0,2.78804,46.05,11.8,vehicle_01,41.93632,61.57,1.0,2025-04-22 12:52:28,187.65250814710777,8.0,84.44362866619849
9.0,2025-05-23T16:52:35.659778,2025-04-22T12:52:35,1745326355.0,2.788509,46.74,12.38,vehicle_01,41.9378,61.71,1.0,2025-04-22 12:52:35,169.07907528555808,7.0,86.9549530040013
9.0,2025-05-23T16:52:35.664880,2025-04-22T12:52:42,1745326362.0,2.788887,47.03,7.12,vehicle_01,41.93932,61.96,1.0,2025-04-22 12:52:42,171.88383879083807,7.0,88.39740280671673
9.0,2025-05-23T16:52:35.669885,2025-04-22T12:52:50,1745326370.0,2.78907,45.86,6.17,vehicle_01,41.94098,61.47,1.0,2025-04-22 12:52:50,185.2031388736945,8.0,83.34141249316254
9.0,2025-05-23T16:52:35.674953,2025-04-22T12:52:57,1745326377.0,2.789131,45.33,1.01,vehicle_01,41.94244,62.5,1.0,2025-04-22 12:52:57,162.4229717205657,7.0,83.5318140277195
